essay_id,prompt_id,mean_word,word_var,mean_sent,sent_var,ess_char_len,word_count,prep_comma,unique_word,clause_per_s,mean_clause_l,max_clause_in_s,spelling_err,sent_ave_depth,ave_leaf_depth,automated_readability,linsear_write,stop_prop,positive_sentence_prop,negative_sentence_prop,neutral_sentence_prop,overall_positivity_score,overall_negativity_score,",",.,VB,JJR,WP,PRP$,VBN,VBG,IN,CC,JJS,PRP,MD,WRB,RB,VBD,RBR,VBZ,NNP,POS,WDT,DT,CD,NN,TO,JJ,VBP,RP,NNS
1,0.0,0.4813876922282426,0.4861188042934924,0.0869917501473188,0.07530677012585665,0.394700901393062,0.425614489003881,0.5220588235294118,0.42248062015503873,0.16666666666666666,0.09836065573770492,0.2857142857142857,0.16883116883116883,0.34375,0.3859563466083733,0.1062052505966587,0.14071294559099437,0.37738118110852564,0.75,0.0,0.2916666666666667,0.603177898275241,0.0,0.4606619641888226,0.3154639175257732,0.44981807155852027,0.05515463917525773,0.061855670103092786,0.3945965161749022,0.19808541973490426,0.3728522336769759,0.8469072164948453,0.3265463917525773,0.0,0.4235395189003436,0.15112464854732896,0.23582474226804123,0.5205380154639175,0.03264604810996564,0.0,0.21649484536082472,0.09697466037190482,0.03592139175257732,0.0,0.3768218983291859,0.0,0.4981739170634737,0.23195876288659795,0.22036082474226806,0.1723122238586156,0.23969072164948454,0.21030927835051544
2,0.0,0.4550933162267045,0.4334198324291228,0.08632881555686506,0.062531596045384,0.48784485113357007,0.5316946959896507,0.5147058823529411,0.45348837209302323,0.08333333333333333,0.16393442622950818,0.14285714285714285,0.21428571428571427,0.42000000000000004,0.4438999288228843,0.09188544152744631,0.15947467166979362,0.5707949153803449,0.7,0.0,0.35000000000000003,0.5491316179118813,0.0,0.25570363677433927,0.3283261802575107,0.4722292350416561,0.04592274678111588,0.0,0.21903211484386562,0.20616186388718577,0.4434907010014306,0.7716738197424893,0.34957081545064383,0.13090128755364805,0.413447782546495,0.40265314085056575,0.44179184549356226,0.3203460300429185,0.21745350500715308,0.0,0.07725321888412018,0.11010388672736753,0.0,0.1017167381974249,0.5490602338315821,0.38197424892703863,0.4057814815527628,0.15450643776824036,0.19313304721030045,0.2032495401594114,0.13304721030042918,0.42231759656652357
3,0.0,0.4838435591142667,0.44417642085889697,0.08030979038639616,0.08116623151034187,0.3253209505599563,0.35058214747736094,0.3014705882352941,0.4069767441860465,0.023809523809523808,0.08196721311475409,0.14285714285714285,0.07142857142857142,0.37857142857142856,0.3783039647577092,0.0883054892601432,0.07799517555615118,0.4278297791874027,0.7142857142857143,0.14285714285714285,0.16666666666666666,0.696349250813215,0.0,0.2837092731829574,0.33999999999999997,0.3131652661064425,0.20380952380952383,0.38095238095238093,0.0810071154898741,0.0,0.29523809523809524,0.6298412698412699,0.4596825396825397,0.19365079365079363,0.2518518518518518,0.14891774891774892,0.2178571428571429,0.33452380952380956,0.04021164021164021,0.09841269841269841,0.1142857142857143,0.13030707610146863,0.0,0.0,0.6266009852216748,0.28253968253968254,0.4120435618193466,0.2285714285714286,0.21428571428571427,0.4244897959183674,0.2952380952380953,0.5333333333333333
4,0.0,0.7410077047102531,0.5671305580650712,0.07723870010257754,0.05966340401760079,0.6864244741873805,0.6675291073738681,0.5661764705882353,0.6627906976744186,0.07407407407407407,0.10928961748633881,0.2857142857142857,0.525974025974026,0.29259259259259257,0.2917497554724877,0.11217183770883053,0.12445278298936836,0.6858696249107583,0.6296296296296297,0.0,0.43209876543209874,0.6758269935067726,0.0,0.20955798587377536,0.33530844155844153,0.3695569136745607,0.13896103896103898,0.11688311688311688,0.16569637259292433,0.2495361781076067,0.08387445887445887,0.6441558441558443,0.2497564935064935,0.5941558441558441,0.137987012987013,0.2665289256198347,0.14853896103896105,0.3848924512987013,0.37012987012987014,0.05032467532467533,0.11688311688311688,0.39425294331836386,0.04525162337662338,0.15389610389610392,0.5103000447828033,0.0,0.42385417273309645,0.2191558441558442,0.299512987012987,0.22611317254174396,0.05032467532467533,0.41298701298701296
5,0.0,0.48583304743299294,0.4306989167544125,0.054213317619328225,0.019129802782063846,0.5495766184102704,0.5912031047865459,0.4117647058823529,0.46511627906976744,0.14444444444444446,0.07818411097099622,0.2857142857142857,0.16233766233766234,0.27,0.2221153846153846,0.06324582338902147,0.13070669168230142,0.37804595033650507,0.5333333333333333,0.13333333333333333,0.3888888888888889,0.8053343471127297,0.0,0.24872392928371023,0.4421965317919075,0.6140768446106766,0.32986512524084777,0.04624277456647399,0.09833233672181249,0.07404349022846132,0.11946050096339113,0.513680154142582,0.2615606936416185,0.11753371868978804,0.2620423892100192,0.5874934314240673,0.22037572254335258,0.6091040462427746,0.04881181759794477,0.11946050096339114,0.18497109826589597,0.03954405488628383,0.0,0.27398843930635836,0.7606139126968308,0.4287090558766859,0.44231317556183414,0.3641618497109827,0.1907514450867052,0.20396366639141206,0.05973025048169557,0.3791907514450867
6,0.0,0.2973896843653329,0.283128437547062,0.05951679434295815,0.031346207668625795,0.26304288445779844,0.3078913324708926,0.22794117647058823,0.32558139534883723,0.08888888888888889,0.0778688524590164,0.2857142857142857,0.14285714285714285,0.2333333333333333,0.21967694566813503,0.04295942720763723,0.07263468239077994,0.25055077888908384,0.2,0.13333333333333333,0.7777777777777778,0.9455093574506116,0.0,0.10793287566742944,0.41576086956521735,0.32992327365728896,0.0,0.1739130434782609,0.2773613193403298,0.3480848861283644,0.1497584541062802,0.6289855072463769,0.2951086956521739,0.22101449275362317,0.43115942028985504,0.21245059288537552,0.49728260869565216,0.5408740942028986,0.2753623188405797,0.0,0.10869565217391305,0.1982933766761479,0.0,0.17173913043478262,0.6091954022988506,0.0,0.48547475141353086,0.32608695652173914,0.1956521739130435,0.3027950310559006,0.11231884057971014,0.1391304347826087
7,0.0,0.5170987135561445,0.3141739793363396,0.060891769789825176,0.014901855051142242,0.5981972138759901,0.6351875808538163,0.7352941176470589,0.5658914728682171,0.05555555555555555,0.1377049180327869,0.14285714285714285,0.16883116883116883,0.2866666666666666,0.237369218061674,0.0739856801909308,0.1707317073170732,0.5001609934497291,0.43333333333333335,0.26666666666666666,0.35000000000000003,0.9368622193765257,0.0,0.5971543980225479,0.3943298969072164,0.4041843541540327,0.07353951890034365,0.2061855670103093,0.5042066595568194,0.09904270986745213,0.21305841924398625,0.6924398625429554,0.24879725085910653,0.0,0.3018327605956472,0.3626991565135895,0.11791237113402062,0.6035223367697595,0.15234822451317298,0.05326460481099656,0.1752577319587629,0.07052702572502167,0.07184278350515463,0.16288659793814433,0.5401113876051665,0.22938144329896906,0.5775045074199067,0.20103092783505155,0.20103092783505155,0.12444771723122239,0.0,0.23917525773195877
8,0.0,0.5204427145544063,0.46560313887111415,0.03570403275765681,0.014416243261052952,0.5782573067467905,0.6131953428201811,0.49264705882352944,0.5038759689922481,0.05128205128205129,0.10655737704918032,0.14285714285714285,0.22727272727272727,0.2230769230769231,0.21491231418777054,0.0477326968973747,0.052532833020637895,0.513298904444909,0.5641025641025641,0.10256410256410256,0.3888888888888889,0.7968326576514179,0.0,0.1957492297050871,0.5346774193548386,0.44876660341555974,0.15340501792114697,0.043010752688172046,0.16005438141144482,0.2410394265232975,0.18518518518518517,0.6222222222222222,0.3081541218637993,0.0,0.4265232974910394,0.1681329423264907,0.20497311827956988,0.4721102150537635,0.15890083632019117,0.16666666666666669,0.16129032258064518,0.09195055773289117,0.0,0.0,0.5109380793474231,0.15949820788530467,0.36626645450600315,0.38709677419354843,0.30645161290322587,0.3794162826420891,0.05555555555555556,0.2924731182795699
9,0.0,0.41223998405928935,0.41002204311221546,0.037292701405842246,0.01638028706411811,0.5058727123736684,0.5614489003880984,0.4117647058823529,0.5387596899224806,0.12380952380952381,0.09457755359394704,0.42857142857142855,0.12987012987012986,0.22857142857142856,0.19828961093821396,0.03818615751789976,0.06995443580809435,0.434052757793765,0.5142857142857142,0.11428571428571428,0.43333333333333335,0.7322536201643008,0.0,0.3073059825579423,0.5178916827852997,0.5577426328365002,0.12417794970986461,0.2785299806576403,0.1974254652171013,0.11149488809063278,0.1399097356544165,0.4796905222437138,0.3851063829787234,0.0,0.26305609284332687,0.2948830666432214,0.044245647969052226,0.5605053191489362,0.0245003223726628,0.059961315280464215,0.2205029013539652,0.05292937327138958,0.026958413926499034,0.2750483558994197,0.8059761221903555,0.086073500967118,0.5499822189069399,0.24371373307543523,0.23500967117988394,0.1831997789444598,0.0,0.21353965183752416
10,0.0,0.3242683655813595,0.28773227688499586,0.07665110375776256,0.038812006641610663,0.5542201584266594,0.6390685640362225,0.47794117647058826,0.5,0.12820512820512822,0.11639344262295082,0.14285714285714285,0.2077922077922078,0.31538461538461543,0.3007481994266135,0.06801909307875896,0.12445278298936836,0.3233779510256336,0.2692307692307692,0.4230769230769231,0.35897435897435903,0.0,0.171322180603917,0.24692281324982082,0.35328596802841916,0.4582593250444049,0.07602131438721137,0.0,0.11330924235928216,0.238898756660746,0.12847838957963292,0.5616341030195382,0.41793960923623447,0.0,0.3422143280047365,0.12497981592120136,0.20315275310834813,0.5615008880994672,0.15748963883955003,0.0,0.24511545293072826,0.06075596354642187,0.0,0.5051509769094139,0.7011698413670607,0.0,0.3993341245250858,0.4316163410301954,0.3037300177619893,0.33646282669373256,0.33037300177619894,0.28134991119005326
11,0.0,0.7592771641290582,0.45640965604996814,0.049659827503080296,0.01890994365490737,0.42338158972958206,0.4087968952134541,0.3088235294117647,0.6162790697674418,0.07575757575757576,0.17049180327868854,0.2857142857142857,0.18181818181818182,0.24545454545454543,0.27326467436599594,0.08591885441527447,0.09943714821763602,0.6698345027681558,0.22727272727272727,0.5454545454545454,0.26515151515151514,0.0,0.1560889488920333,0.344233918128655,0.4488,0.38447058823529406,0.05706666666666667,0.192,0.20413793103448274,0.4099047619047619,0.27555555555555555,0.4794666666666667,0.24133333333333337,0.16266666666666665,0.27199999999999996,0.25018181818181817,0.061,0.4683333333333334,0.10133333333333334,0.16533333333333333,0.14400000000000002,0.13682242990654206,0.03716666666666667,0.2528,0.5458390804597701,0.11866666666666667,0.418439461883408,0.336,0.34800000000000003,0.32685714285714285,0.08266666666666667,0.37120000000000003
